"url","New column","New column (1)"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Tennis de velocidad","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Tennis Polo","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Throwball","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Ultimate football","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Ultimate","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Underwater football","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Underwater hockey","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Underwater rugby","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Viperball","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Vóleibol","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Vóleibol de playa","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Wallyball","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Waterpolo","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Wheelchair basketball","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Wheelchair tennis","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Wheelchair rugby","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Wiffle ball","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Pulseada","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Culturismo","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Powerlifting","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Juego de la soga","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Zourkhaneh","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Corta de troncos","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Fuerza de agarre","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Crossfit","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Atletismo de fuerza","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Halterofilia","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Shooter en primera persona","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Átlatl","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Baile deportivo","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Curling","Deporte"
