"New column","New column (1)"
"Lady from Shanghai, The","Cine"
"Two-Lane Blacktop","Cine"
"Sound of Music, The","Cine"
"Silence, The","Cine"
"Land Without Bread","Cine"
"Crouching Tiger, Hidden Dragon","Cine"
"Point Blank","Cine"
"Grey Gardens","Cine"
"Flowers of St. Francis, The","Cine"
"Forrest Gump","Cine"
"Flowers of Shanghai","Cine"
"Lola","Cine"
"Yellow Earth","Cine"
"Melancholia","Cine"
"Hoop Dreams","Cine"
"Steamboat Bill, Jr.","Cine"
"India Song","Cine"
"Repulsion","Cine"
"Cranes Are Flying, The","Cine"
"Mon oncle","Cine"
"Winter Light","Cine"
"Tale of Tales","Cine"
"Wedding March, The","Cine"
"Miracle in Milan","Cine"
"Talk to Her","Cine"
"Withnail & I","Cine"
"Safe","Cine"
"All That Jazz","Cine"
"Barton Fink","Cine"
"Loves of a Blonde","Cine"
"Vampires, Les","Cine"
"Wagon Master","Cine"
"Dead Man","Cine"
"Terra trema, La","Cine"
"Frankenstein","Cine"
"Alphaville","Cine"
"Lives of Others, The","Cine"
"Halloween","Cine"
"Our Hospitality","Cine"
"Tootsie","Cine"
"All the President's Men","Cine"
"Casino","Cine"
"Cat People","Cine"
"Servant, The","Cine"
"Devils, The","Cine"
"Bigger Than Life","Cine"
